week,model,task,platform,split_protocol,fold_protocol,latency_ms,f1_test,f1_test_std,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,auc_test,auc_test_std,auc_fold_0,auc_fold_1,auc_fold_2,auc_fold_3,auc_fold_4,auc_fold_5,auc_fold_6,constraint_ms,verdict,notes
2,RandomForest,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),7.856,0.7492,0.0481,0.7179,0.7804,0.7622,0.6971,0.8447,0.7027,0.7396,0.9595,0.0092,0.951,0.973,0.9655,0.9531,0.9707,0.9537,0.9495,100.0,PASS,"carried forward from W02_RF_Benchmark.ipynb (Pipeline: scaler+PCA(19 components)+RF, 7-fold block rotation, val-tuned threshold per rotation)"
3,MLP,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),0.1351,0.7936,0.0472,0.777,0.7567,0.7537,0.8134,0.8606,0.8581,0.7358,0.9786,0.0112,0.9938,0.9776,0.963,0.9734,0.9884,0.9887,0.9653,100.0,PASS,"40-D raw+FFT+physical input, activation=relu, dropout=0.3, optimizer=sgd_momentum, 7-fold block rotation, val-tuned threshold per rotation (canonical-fold snapshot: t=0.76, F1=0.7358)"
3,1D-CNN,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),0.1516,0.7307,0.1147,0.7254,0.8736,0.6205,0.527,0.86,0.7631,0.7456,0.9648,0.0221,0.9566,0.9609,0.9165,0.9866,0.9778,0.9813,0.9737,100.0,PASS,"50-step window tensor (per-channel standardized), 2x Conv1d(k=3)+concat-pool (selected empirically in §3.2 over avg/max/concat, overriding the plan's GAP default), optimizer=sgd_momentum (selected in §3.3 over Adam; §3.5 shows this trades stability for a lower mean-val-loss result), 7-fold block rotation (§3.5), val-tuned threshold per rotation (canonical-fold snapshot: t=0.78, F1=0.7317)"
3,LSTM,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),0.1909,0.7038,0.159,0.7965,0.6256,0.6111,0.3863,0.8491,0.8148,0.8428,0.9694,0.0137,0.9806,0.9693,0.9573,0.9703,0.9431,0.9839,0.981,100.0,PASS,"unidirectional single-layer LSTM, hidden=64, Adam, w=50, 7-fold block rotation, val-tuned threshold per rotation (canonical-fold snapshot: t=0.49, F1=0.6739)"
3,GRU,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),0.6659,0.7468,0.0818,0.7195,0.8513,0.6961,0.722,0.8369,0.6017,0.8,0.9747,0.0062,0.9768,0.9782,0.9687,0.9655,0.9738,0.986,0.9738,100.0,PASS,"unidirectional single-layer GRU, hidden=64, Adam, w=50, 7-fold block rotation, val-tuned threshold per rotation (canonical-fold snapshot: t=0.65, F1=0.7423)"
3,Transformer,rover_anomaly,Aido Rover,block-stratified,7-fold (block rotation),0.5191,0.8289,0.0688,0.7983,0.9142,0.8007,0.6902,0.887,0.8608,0.8511,0.9822,0.0045,0.977,0.982,0.9778,0.9785,0.9855,0.9841,0.9905,100.0,PASS,"2-layer/4-head TransformerEncoder, d_model=64, dim_feedforward=128, dropout=0.1, sinusoidal PE, mean-pool head, Adam, w=50, 7-fold block rotation, val-tuned threshold per rotation (canonical-fold snapshot: t=0.87, F1=0.7782)"
